iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld Wuh xsmd lai kdiff kdir wdir
2025 4 13 0 -999.0 -0.0 -0.0 -999.0 -999.0 0.93 83.45 -9.81 97.91 0.0 82.38 -999.0 191.32 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 14 0 -999.0 -0.0 -0.0 -999.0 -999.0 1.73 83.82 -10.03 97.9 0.0 38.81 -999.0 188.99 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 15 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.24 87.05 -10.7 97.89 0.0 2.17 -999.0 186.59 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 16 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.87 87.52 -10.99 97.89 0.0 0.0 -999.0 187.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 17 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.31 88.12 -11.34 97.86 0.0 0.0 -999.0 187.1 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 18 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.31 89.44 -11.59 97.85 0.0 0.0 -999.0 188.58 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 19 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.29 89.19 -11.79 97.86 0.0 0.0 -999.0 190.68 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 20 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.15 88.99 -12.07 97.87 0.0 0.0 -999.0 188.49 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 21 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.01 88.78 -12.2 97.87 0.0 0.0 -999.0 188.97 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 22 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.28 89.28 -12.33 97.9 0.0 0.0 -999.0 187.5 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 4 23 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.47 88.64 -12.53 97.91 0.0 0.0 -999.0 186.58 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 0 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.45 88.96 -13.01 97.95 0.0 0.0 -999.0 185.27 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 1 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.5 88.47 -13.03 97.93 0.0 0.0 -999.0 185.39 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 2 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.36 89.02 -13.19 97.89 0.0 0.0 -999.0 184.94 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 3 0 -999.0 -0.0 -0.0 -999.0 -999.0 1.93 89.53 -13.53 97.88 0.0 0.0 -999.0 184.47 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 4 0 -999.0 -0.0 -0.0 -999.0 -999.0 1.63 90.18 -13.62 97.87 0.0 0.0 -999.0 187.96 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 5 0 -999.0 -0.0 -0.0 -999.0 -999.0 1.85 90.51 -14.02 97.86 0.0 0.0 -999.0 192.32 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 6 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.25 90.55 -14.18 97.86 0.0 0.0 -999.0 194.1 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 7 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.42 90.37 -14.28 97.88 0.0 0.0 -999.0 214.67 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 8 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.18 90.52 -14.72 97.89 0.0 0.0 -999.0 211.82 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 9 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.42 89.06 -13.93 97.91 0.0 6.47 -999.0 219.5 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 10 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.95 88.59 -13.21 97.89 0.0 39.29 -999.0 235.34 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 11 0 -999.0 -0.0 -0.0 -999.0 -999.0 3.19 87.35 -12.17 97.88 0.0 66.4 -999.0 235.76 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2025 5 12 0 -999.0 -0.0 -0.0 -999.0 -999.0 2.8 86.76 -10.91 97.81 0.01 70.45 -999.0 233.62 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
